Model;Promo_Price;Price;URL
['HISENSE', '55A7100F'];16999;19 999-3 000                                        16 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_55a7100f.html
['SAMSUNG', 'QE65QN800BUXUA'];157999;197 499-39 500                                        157 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe65qn800buxua.html
['LG', '65UP78006LB'];39499;49 379-9 880                                        39 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_65up78006lb.html
['TCL', '55P725'];18199;                                        18 199 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_tcl_55p725.html
['LG', '55NANO816PA'];26999;45 629-18 630                                        26 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_55nano816pa.html
['LG', 'OLED55A16LA'];41999;59 499-17 500                                        41 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_oled55a16la.html
['LG', '43UP81006LA'];20499;23 999-3 500                                        20 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_43up81006la-0.html
['TCL', '43P615'];13999;17 499-3 500                                        13 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_tcl_43p615.html
['SAMSUNG', 'UE32N4000AUXUA'];7999;8 499-500                                        7 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue32n4000auxua.html
['HISENSE', '50A7100F'];15999;17 999-2 000                                        15 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_50a7100f.html
['SAMSUNG', 'UE32N5000AUXUA'];8999;9 599-600                                        8 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue32n5000auxua.html
['SAMSUNG', 'QE75Q80AAUXUA'];100299;117 999-17 700                                        100 299 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe75q80aauxua.html
['SAMSUNG', 'QE43QN90BAUXUA'];56999;71 249-14 250                                        56 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe43qn90bauxua.html
['SONY', 'KD55X85TJR'];36999;46 249-9 250                                        36 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_kd55x85tjr.html
['HISENSE', '55A7300F'];16999;19 999-3 000                                        16 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_55a7300f.html
['SAMSUNG', 'QE65QN85BAUXUA'];98999;123 749-24 750                                        98 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe65qn85bauxua.html
['SAMSUNG', 'QE75Q70AAUXUA'];86999;96 999-10 000                                        86 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe75q70aauxua.html
['TCL', '55C728'];29799;                                        29 799 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_tcl_55c728.html
['SAMSUNG', 'UE65AU8000UXUA'];36999;39 599-2 600                                        36 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue65au8000uxua.html
['SONY', 'XR55A80JCEP'];76799;95 999-19 200                                        76 799 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_xr55a80jcep.html
['SAMSUNG', 'QE65LS03BAUXUA'];73999;92 499-18 500                                        73 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe65ls03bauxua.html
